"姓名","姓名＋出生年次","關係者姓名","關係者姓名＋出生年次","關係者如何稱呼該人物","關係開始時間","關係結束時間","資料來源"
"陳雲龍","陳雲龍1957","黃昭順","黃昭順1953","丈夫","","","https://github.com/ptstaiwan/pts-data"
"王崇儀","王崇儀","黃昭順","黃昭順1953","丈夫","","","https://github.com/ptstaiwan/pts-data"
"黃尊秋","黃尊秋","黃昭順","黃昭順1953","爸爸","1953.0","","https://github.com/ptstaiwan/pts-data"
"黃正忠","黃正忠1950","黃柏霖","黃柏霖1967","爺爺","1967","","https://github.com/ptstaiwan/pts-data"
"黃啟川","黃啟川1961","黃柏霖","黃柏霖1967","堂叔","1967","","https://github.com/ptstaiwan/pts-data"
"侯彩鳳","侯彩鳳1952","黃柏霖","黃柏霖1967","堂嫂","1967","","https://github.com/ptstaiwan/pts-data"
"黃鏡峰","黃鏡峰","黃健庭","黃健庭1959","爸爸","1959","","https://github.com/ptstaiwan/pts-data"
"陸淑美","陸淑美1962","黃韻涵","黃韻涵1984","媽媽","1984","","https://github.com/ptstaiwan/pts-data"
"楊夷狄","楊夷狄","楊曜","楊曜1966","爸爸","1966","","https://github.com/ptstaiwan/pts-data"
"楊元芳","楊元芳","楊瓊瓔","楊瓊瓔1964","爺爺","1964","","https://github.com/ptstaiwan/pts-data"
"葉棟樑","葉棟樑","葉宜津","葉宜津1960","爸爸","1960","","https://github.com/ptstaiwan/pts-data"
"劉松藩","劉松藩1931","劉銓忠","劉銓忠1942","叔叔","1942","","https://github.com/ptstaiwan/pts-data"
"林金莖","林金莖","歐崇敬","歐崇敬1967","外叔公","1967","","https://github.com/ptstaiwan/pts-data"
"蔡崇銘","蔡崇銘1962","蔡宜芳","蔡宜芳1990","爸爸","1990","","https://github.com/ptstaiwan/pts-data"
"蔡啟芳","蔡啟芳1954","蔡易餘","蔡易餘1981","爸爸","1981","","https://github.com/ptstaiwan/pts-data"
"蔡登瀛","蔡登瀛1935","蔡育輝","蔡育輝1959","爸爸","1959","","https://github.com/ptstaiwan/pts-data"
"蔣淦生","蔣淦生","蔣乃辛","蔣乃辛1948","爸爸","1948","","https://github.com/ptstaiwan/pts-data"
"蔣經國","蔣經國","蔣孝嚴","蔣孝嚴1941","爸爸","1941","","https://github.com/ptstaiwan/pts-data"
"蔣孝嚴","蔣孝嚴1941","蔣萬安","蔣萬安1978","爸爸","1978","","https://github.com/ptstaiwan/pts-data"
"蔣經國","蔣經國","蔣萬安","蔣萬安1978","爺爺","1978","","https://github.com/ptstaiwan/pts-data"
"謝言信","謝言信1929","鄭汝芬","鄭汝芬1957","公公","","","https://github.com/ptstaiwan/pts-data"
"鄭永金","鄭永金1949","鄭朝方","鄭朝方1980","爸爸","1980","","https://github.com/ptstaiwan/pts-data"
"賴勁麟","賴勁麟1962","賴品妤","賴品妤1992","爸爸","1992","","https://github.com/ptstaiwan/pts-data"
"戴建三","戴建三1943","戴寧","戴寧1982","爸爸","1982","","https://github.com/ptstaiwan/pts-data"
"謝言信","謝言信1929","謝衣鳯","謝衣鳯1977","爺爺","1977","","https://github.com/ptstaiwan/pts-data"
"廖福本","廖福本1938","謝淑亞","謝淑亞1960","公公","","","https://github.com/ptstaiwan/pts-data"
"鍾紹和","鍾紹和1956","鍾易仲","鍾易仲1982","爸爸","1982","","https://github.com/ptstaiwan/pts-data"
"鍾榮吉","鍾榮吉","鍾紹和","鍾紹和1956","叔叔","1956","","https://github.com/ptstaiwan/pts-data"
"張芬郁","張芬郁1958","簡肇棟","簡肇棟1955","妻子","","","https://github.com/ptstaiwan/pts-data"
"顏清標","顏清標1960","顏寬恒","顏寬恒1977","爸爸","1977","","https://github.com/ptstaiwan/pts-data"
"羅福助","羅福助1943","羅明才","羅明才1967","爸爸","1967","","https://github.com/ptstaiwan/pts-data"
"蘇貞昌","蘇貞昌1947","蘇巧慧","蘇巧慧1976","爸爸","1976","","https://github.com/ptstaiwan/pts-data"
"蘇東啟","蘇東啟1966","蘇治芬","蘇治芬1953","爸爸","1953","","https://github.com/ptstaiwan/pts-data"
"蘇洪月嬌","蘇洪月嬌1931","蘇治芬","蘇治芬1953","媽媽","1953","","https://github.com/ptstaiwan/pts-data"
"蘇治洋","蘇治洋1952","蘇治芬","蘇治芬1953","哥哥","1953","","https://github.com/ptstaiwan/pts-data"
"蘇勳璧","蘇勳璧","蘇治芬","蘇治芬1953","妹妹","","","https://github.com/ptstaiwan/pts-data"
"蘇嘉川","蘇嘉川","蘇震清","蘇震清1965","爸爸","1965","","https://github.com/ptstaiwan/pts-data"
"蘇嘉全","蘇嘉全1956","蘇震清","蘇震清1965","叔叔","1965","","https://github.com/ptstaiwan/pts-data"
